openalex_id,title,publication_year,cited_by_count,doi,venue,authors,abstract,keywords,search_query,collection_timestamp
https://openalex.org/W4409293192,Revolutionizing Supply Chain Management with AI Agents on DataBricks,2025,0,https://doi.org/10.32628/cseit25112710,International Journal of Scientific Research in Computer Science Engineering and Information Technology,['Pritam Roy'],"The integration of artificial intelligence in supply chain management has revolutionized traditional operations through advanced automation and intelligent decision-making capabilities. The DataBricks platform enables the deployment of specialized AI agents - Procurement Policy Advisor, Quality Inspection Advisor, Sustainability Policy Advisor, and Goods Delivery Advisor - each addressing specific operational challenges while delivering measurable benefits. These agents leverage machine learning algorithms and predictive analytics to enhance procurement processes, quality control, sustainability reporting, and logistics operations. The implementation has significantly improved operational efficiency, cost reduction, and process optimization across diverse supply chain functions. The framework's modular architecture facilitates emerging technologies' continuous evolution and integration, positioning organizations for enhanced competitiveness in dynamic market environments.","['Supply chain management', 'Supply chain', 'Business', 'Computer science']",agent supply chain management,2025-06-05T11:17:50.043394
https://openalex.org/W4407051906,Transforming Sourcing and Supply Chain Management: The Evolution of AI Agents in Modern Procurement,2025,0,https://doi.org/10.32628/cseit251112131,International Journal of Scientific Research in Computer Science Engineering and Information Technology,['Parameswara Rao Tatini'],"This article examines the transformative impact of artificial intelligence and machine learning technologies on procurement and supply chain management practices. The article shows how AI agents are revolutionizing traditional procurement processes through advanced data analytics, automated decision-making, and predictive capabilities. By analyzing implementations across manufacturing, retail, and technology sectors, the research demonstrates how AI-powered solutions are addressing longstanding challenges in supplier selection, demand forecasting, contract management, and risk mitigation. The article explores the evolution from manual to AI-driven processes, highlighting improvements in operational efficiency, cost optimization, and strategic decision-making. Furthermore, it examines the integration of emerging technologies like blockchain and smart contracts in procurement systems, while considering critical implementation challenges such as data privacy, legacy system integration, and skill gaps. The article provides comprehensive insights into how organizations are leveraging AI to transform procurement from a purely operational function to a strategic driver of business value, while also addressing the growing importance of sustainable and ethical procurement practices in the modern business landscape.","['Procurement', 'Supply chain', 'Transformative learning', 'Strategic sourcing', 'Big data', 'Supply chain management', 'Implementation', 'Analytics', 'Business', 'Process management']",agent supply chain management,2025-06-05T11:17:50.043630
https://openalex.org/W4406965743,Hybrid multi-agent framework for green supply chain management,2025,0,https://doi.org/10.1504/ijids.2025.10069090,International Journal of Information and Decision Sciences,"['Mohamed Dif El Idrissi', 'Abdelkabir Charkaoui', 'Abdelwahed Echchatbi']",,"['Supply chain management', 'Supply chain', 'Business', 'Computer science']",agent supply chain management,2025-06-05T11:17:50.043742
https://openalex.org/W4407175788,Hybrid multi-agent framework for green supply chain management,2025,0,https://doi.org/10.1504/ijids.2025.144258,International Journal of Information and Decision Sciences,"['Mohamed Dif El Idrissi', 'Abdelkabir Charkaoui', 'Abdelwahed Echchatbi']",,"['Supply chain', 'Supply chain management', 'Business', 'Computer science', 'Process management']",agent supply chain management,2025-06-05T11:17:50.043755
https://openalex.org/W4406962546,Supply chain risks for SMEs in construction projects: a structured literature review and research agenda,2025,1,https://doi.org/10.1108/ijlm-12-2023-0548,The International Journal of Logistics Management,"['Shicheng Chen', 'Daniel Eyers', 'Jonathan Gosling', 'Yu‐An Huang']","Purpose Whilst there has been much research examining risk management in construction supply chains, there is a relative dearth of knowledge concerning small and medium-sized enterprises (SMEs) in this context. SMEs are considered vulnerable economic agents due to their financial constraints and reduced viability compared to large firms. This study aims to fill this gap by providing a comprehensive review, identifying key challenges in the research and generating a future research agenda. Design/methodology/approach A structured literature review was conducted in this study, resulting in the identification of 106 articles that relate to construction SME risks. Thematic analysis was then employed to determine the supply chain risk themes. Additionally, VOSviewer was employed to depict content frequency and, most recently, trends based on the timeline. Findings This paper uncovers eight distinct supply chain risks pertinent to construction SMEs, arranging these into three themes from the standpoint of supply chain risk management. Moreover, it identifies six gaps in the existing body of research on construction SMEs and puts forth prospective research directions and questions to address each of these identified gaps. Originality/value The practical significance of this study is to provide SMEs in the construction industry with a comprehensive framework for identifying and categorizing risks related to management and strategy, operations and processes and sustainability. With this framework, SMEs can systematically assess potential risks at all stages of a project.","['Business', 'Supply chain', 'Supply chain management', 'Process management', 'Operations management', 'Marketing']",agent supply chain management,2025-06-05T11:17:50.043770
https://openalex.org/W4409174383,Researching Like a Master Chef: An Expansion of the Quantitative “Kitchen Tools” in Supply Chain Management Research,2025,1,https://doi.org/10.1111/jscm.12347,Journal of Supply Chain Management,"['Tingting Yan', 'Andreas Wieland', 'Wendy L. Tate']","ABSTRACT World‐renowned chefs achieve culinary excellence by mastering diverse cooking techniques and specialized tools. Similarly, supply chain management (SCM) faces complex and dynamic research phenomena that defy simple methods. This editorial argues that SCM researchers need to expand their methodological toolkit of quantitative data collection and analysis approaches. Although traditional quantitative data collection and analysis methods have advanced SCM theory, they impose limitations on capturing real‐world complexities. Issues like retrospective bias, the cross‐sectional nature of data, the inability to replicate managerial dynamics, and constraints in network‐level analysis hinder theoretical development. Moreover, dominant data analysis techniques struggle to accommodate temporal dynamics, multilevel interactions, and causal inferences. To overcome these constraints, this editorial advocates the need for promising but underutilized research methods: field experiments, neuroscience methods, agent‐based modeling, SIENA, dynamic SEM, multilevel models, QCA, and AI‐based methods. By expanding the methodological “kitchen tools,” researchers can generate more powerful, convincing, and comprehensive theories about supply chain decision‐making and performance.","['Business', 'Supply chain management', 'Supply chain', 'Process management', 'Operations management', 'Marketing']",agent supply chain management,2025-06-05T11:17:50.043890
https://openalex.org/W4406963855,Non‐Transfusion‐Dependent Thalassemia: An Image Gallery Worth a Thousand Words,2025,1,https://doi.org/10.1002/ajh.27621,American Journal of Hematology,"['Khaled M. Musallam', 'Sujit Sheth', 'Thomas D. Coates', 'Hanny Al‐Samkari', 'Maria Domenica Cappellini', 'Kevin H.M. Kuo', 'Vip Viprakasit', 'Alì Taher']","Our understanding of the molecular pathways and associated clinical presentations characterizing various thalassemia phenotypes has substantially improved over the years. Non-transfusion-dependent thalassemia (NTDT) refers to patients who present with mild–moderate anemia, which does not necessitate lifelong, regular transfusion therapy. This typically includes patients with β-thalassemia intermedia, mild–moderate hemoglobin E/β-thalassemia, and α-thalassemia intermedia (hemoglobin H disease) (Figure 1) [1-7]. The underlying α/non-α globin chain imbalance and subsequent ineffective erythropoiesis and peripheral hemolysis lead to chronic anemia, primary iron overload, and a hypercoagulable state. These, in turn, are associated with a range of clinical morbidities that can impact quality of life and lead to premature death (Figure 2) [2, 8-22]. In view of the growing evidence on the negative impact of untreated anemia in these patients, long-term management becomes key. However, the only options that have been available so far include transfusions which can worsen iron overload and introduce transfusion-dependence burden, off-label use of hydroxyurea based on data from small trials or observational studies, and splenectomy which is associated with increased risks of infections and thrombosis (Figure 3) [6, 9, 23, 24]. Beyond anemia, cumulative iron overload due to increased intestinal iron absorption needs to be regularly monitored and managed with iron chelation therapy. Multimorbidity in NTDT also requires close monitoring and early intervention through a multidisciplinary team approach (Figure 4) [2, 6, 25-27]. In the last decade, we have witnessed several novel agents being developed to manage anemia in NTDT. Agents targeting hepcidin dysregulation have not been successful in clinical trials, despite encouraging data in animal models. Luspatercept, an erythroid maturation agent, showed efficacy in improving hemoglobin level in adults with β-NTDT and is now approved in Europe (but not the United States). Mitapivat, a pyruvate kinase activator, has also shown efficacy in improving hemoglobin level and functional status in a recent phase 3 trials in adult patients with both α- and β-NTDT (Figure 5) [24, 28-30]. Clinical management guidelines are now available, but awareness of the various morbidities and treatment options in NTDT, especially among patients remains essential (a patient friendly summary is provided in the Appendix S1). All authors contributed to conceptualization and manuscript drafting or critical review. K.M.M. was also involved in the creation of visualizations. All authors validated the manuscript and gave final approval for submission. The authors thank Dr. Yuva Oz of Art 4 Science, Amsterdam, the Netherlands for providing creative support, which was funded by Agios Pharmaceuticals Inc., Cambridge (MA), USA. Ethics approval not applicable as no patients were involved in this work. K.M.M. reports consultancy fees from Novartis, Bristol Myers Squibb (Celgene Corp), Agios Pharmaceuticals, CRISPR Therapeutics, Vifor Pharma, Novo Nordisk, and Pharmacosmos; and research funding from Agios Pharmaceuticals and Pharmacosmos. S.S. reports consultancy fees from Agios Pharmaceuticals, Bristol Myers Squibb, and Novo Nordisk; being a member of a clinical trial steering committee for Vertex Pharmaceuticals; and research funding (for clinical trials) from Agios Pharmaceuticals, Bristol Myers Squibb, Novo Nordisk, and Regeneron. T.D.C. reports advisory support to Agios Pharmaceuticals, Bristol Myers Squibb, and Chiesi. H.A.-S. reports consultancy fees from Agios Pharmaceuticals, Alnylam, Alpine, Amgen, argenx, Novartis, Pharmacosmos, and Sobi; and research funding to institution from Agios Pharmaceuticals, Amgen, Novartis, Sobi, and Vaderis. M.D.C. reports consultancy fees from Novartis, Bristol Myers Squibb (Celgene Corp), Vifor Pharma, and Vertex Pharmaceuticals; and research funding from Novartis, Bristol Myers Squibb (Celgene Corp), La Jolla Pharmaceutical Company, Roche, Protagonist Therapeutics, and CRISPR Therapeutics. K.H.M.K. reports grants from Agios Pharmaceuticals and Pfizer; consulting fees from Agios Pharmaceuticals, Alexion Pharmaceuticals, Biossil, Bristol Myers Squibb, Forma, Novo Nordisk, Pfizer, and Vertex Therapeutics; honoraria from Agios Pharmaceuticals and Bristol Myers Squibb; and being on a data safety monitoring board/advisory board for Sangamo. V.V. reports grants from Agios Pharmaceuticals, Bristol Myers Squibb (Celgene Corp), DisperSol Technologies, IONIS Pharmaceuticals, Novartis, Pharmacosmos, The Government Pharmaceutical Organisation, and Vifor; and consulting fees from Agios Pharmaceuticals, Bristol Myers Squibb (Celgene Corp), DisperSol Technologies, IONIS Pharmaceuticals, Novartis, Pharmacosmos, and Vifor. A.T.T. reports consultancy fees from Novo Nordisk, Bristol Myers Squibb (Celgene Corp), Agios Pharmaceuticals, Pharmacosmos, and Roche; and research funding from Novo Nordisk, Bristol Myers Squibb (Celgene Corp), Agios Pharmaceuticals, Pharmacosmos, and Roche. Data S1 Supporting Information. Please note: The publisher is not responsible for the content or functionality of any supporting information supplied by the authors. Any queries (other than missing content) should be directed to the corresponding author for the article.","['Medicine', 'Thalassemia', 'Ineffective erythropoiesis', 'Anemia', 'Splenectomy', 'Pediatrics', 'Internal medicine', 'Intensive care medicine', 'Erythropoiesis']",agent supply chain management,2025-06-05T11:17:50.043991
https://openalex.org/W4410539735,Intelligent Supply Chain Management,2025,0,https://doi.org/10.55041/ijsrem48356,INTERANTIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT,['Khushi Khetade'],"Fuzzy Logic is used to derive the optimal inventory policies in the Supply Chain (SC) numbers. We examine the per- formance of the optimal inventory policies by cutting the costs and increasing the supply chain management efficiency. The proposed inventory policy uses multi-agent and Fuzzy logic, and provides managerial insights on the impact of the decision making in all the SC numbers. In particular, we focus on the way in which our agent purchases components using a mixed procurement strategy (combining long and short term planning) and how it sets its prices according to the prevailing market conditions and its own inventory level (because this adaptivity and flexibility are key to its suc- cess). In modern global market, one of the most important issues of the supply chain (SC) management is to satisfy changing customer demands and enterprises should enhance the long-term advantage through the optimal inventory control. In this paper an intelligent multi-agent system to simulate supply chain management has been developed.","['Supply chain', 'Supply chain management', 'Business', 'Computer science', 'Process management']",agent supply chain management,2025-06-05T11:17:50.044339
https://openalex.org/W4408098807,Enhancing supply chain resilience with multi-agent systems and machine learning: a framework for adaptive decision-making,2025,0,https://doi.org/10.37547/tajet/volume07issue03-02,The American Journal of Engineering And Technology,['Md Zahidur Rahman Farazi'],"The research focuses on how Multi-Agent Systems (MAS) coupled with Machine Learning (ML) can help manage the challenges and risks associated with new-generation supply chains networks. The proposed MAS-ML framework improves flexibility, adaptability, and predictiveness in essential roles in supply chain management (SCM), including demand forecasting, inventory management, production planning, and SCM logistics. The framework is based on decentralised decision-making where each agent is responsible for a particular supply chain activity but employs real-time data foresight from the ML model to streamline the activities. This decentralisation enables resilience in supply chains, which can experience events such as demand variability and transportation disruptions. MAS-ML is presented in this paper as the solution capable of enhancing supply chain performance, reliability, and cost optimisation in situations characterised by risk and uncertainty, such as the current global pandemic. In addition, this paper presents potential research areas, such as the integration of more enhanced deep learning algorithms, the extension of proposing MAS-ML into other sectors, and the addressing of ethical and transparency concerns associated with AI-based decision-making systems. The proposed MAS-ML framework improves the adaptability and resiliency of supply chains, providing a flexible solution for modern supply chain problems.","['Resilience (materials science)', 'Supply chain', 'Computer science', 'Process management', 'Risk analysis (engineering)', 'Business', 'Artificial intelligence']",agent supply chain management,2025-06-05T11:17:50.044430
https://openalex.org/W4408156509,Enhancing the halal potato chips supply chain: innovative risk mitigation strategies for sustainable growth,2025,0,https://doi.org/10.15587/1729-4061.2025.316197,Eastern-European Journal of Enterprise Technologies,"['Siti Asmaul Mustaniroh', 'Sucipto Sucipto', 'Yuyun Pujiastuti', 'Nadya Prabaningtias', 'Rita Saputri', 'Maharani Pertiwi Koentjoro', 'Rizka Aulia Rahma']","Consumer trust is an important asset in the distribution of the halal supply chain. The object of this research is the halal supply chain for micro-scale potato chip enterprises, involving suppliers, producers, and retailers. The final product's halal status may be at risk caused by factors like sourcing raw materials, production processes, storage, distribution, and halal management at various supply chain phases. The problem to be solved is to develop a comprehensive institutional model of the potato chip supply chain, identify and assess these halal-related risks, map risk agents based on risk events, and develop alternative mitigation strategies to minimize potential threats. To accomplish this, an integrated methodology, including the House of Risk (HoR) and Interpretive Structural Modelling (ISM) methodologies, is implemented. The findings reveal the identification of 69 risk events and 70 risk agents, all associated with planning, purchasing, production, and distribution. Thirty priority risk agents requiring immediate attention were determined using the Pareto Diagram and ISM. Based on the ISM analysis, risk agents were categorized into independent and dependent variables within the potato chip business cluster. The integration of HoR and ISM effectively prioritizes risk agents and uncovers their interrelationships, enabling robust mitigation strategies. The approved approach provides a comprehensive risk assessment framework, allowing producers to control the main risk factors affecting halal product integrity, and enhance consumer trust. These findings are particularly valuable for micro-scale potato chip enterprises to strengthen their halal supply chain integrity, improve risk management practices, and increase competitiveness in halal markets","['Supply chain', 'Business', 'Supply chain risk management', 'Risk analysis (engineering)', 'Supply chain management']",agent supply chain management,2025-06-05T11:17:50.044553
